src	trg	degree
Benjamin Hav	Novum	90
Benjamin Hav	MarcieFresh	90
Benjamin Hav	Liv Lykke	88
Benjamin Hav	Semphiz	98
Benjamin Hav	Loke Deph	92
Benjamin Hav	Fred The Future	88
Benjamin Hav	Simon Jul	91
Benjamin Hav	Tina Dickow	89
Benjamin Hav	Benjamin Hav & Familien	87
Benjamin Hav	Pilfinger	94
Benjamin Hav	LukasBL	93
Benjamin Hav	Andreas Ringblom	87
Benjamin Hav	Zookeepers	87
Benjamin Hav	L.O.C.	97
Benjamin Hav	Tue Track	94
Benjamin Hav	Mr. Mo (DNK)	89
Benjamin Hav	​larry lovløs	88
Benjamin Hav	Stanley Most	90
Benjamin Hav	Esben “Es” Thornhal	91
Benjamin Hav	LuxXx	90
Benjamin Hav	Laura Petersen	88
Benjamin Hav	5FingaDisKount	87
Benjamin Hav	Mike Raw	89
Benjamin Hav	Shaman E. Twain	87
Benjamin Hav	EE (DNK)	88
Benjamin Hav	Inspired (DNK)	87
Benjamin Hav	Donnie Deee	87
Benjamin Hav	Face (DNK)	91
Benjamin Hav	MikL (DNK)	88
Benjamin Hav	Cab (DNK)	89
Benjamin Hav	Anton Westerlin	160
Benjamin Hav	Branco	182
Benjamin Hav	TopGunn	165
Benjamin Hav	Karl William	123
Benjamin Hav	Lord Siva	132
Benjamin Hav	Rune Rask	186
Tobias Rahim	​​andreas odbjerg	66
Tobias Rahim	ICEKIID	112
Tobias Rahim	Arto Eriksen	61
Tobias Rahim	Søren Bech	60
Tobias Rahim	Jacob Brøndlund	60
Tobias Rahim	Fridolin	59
Tobias Rahim	Frederik Nordsø	69
Tobias Rahim	Ben Legit	61
Tobias Rahim	Victor Leksell	59
Tobias Rahim	KIDD (DNK)	68
Tobias Rahim	ZK	96
Tobias Rahim	AySay	60
Tobias Rahim	JOSVA	64
Tobias Rahim	Velour (DNK)	60
Tobias Rahim	Fridolin Nordsø	71
Tobias Rahim	Niels Brandt	61
Tobias Rahim	Delara	59
Tobias Rahim	Klumben	63
Tobias Rahim	Ida Laurberg	61
Tobias Rahim	Artigeardit	122
Tobias Rahim	Mille	60
Tobias Rahim	Fred The Future	60
Tobias Rahim	Marvin S	60
Tobias Rahim	Lamin	74
Tobias Rahim	Barcode Brothers	59
Tobias Rahim	Anton Westerlin	132
Tobias Rahim	Kabusa Oriental Choir	59
Tobias Rahim	Chief 1	62
Tobias Rahim	Alexander Palm	59
Tobias Rahim	Frederik Carstens	61
Tobias Rahim	Emil Falk	66
Tobias Rahim	Denzil “DR” Remedios	59
Tobias Rahim	Adam Hillebrandt	67
Tobias Rahim	Awinbeh	61
Tobias Rahim	Emil Kruse	97
Tobias Rahim	Marwan	65
Tobias Rahim	Mattias Kalstrup	59
Tobias Rahim	Hennedub	71
Tobias Rahim	Molly Sandén	59
Tobias Rahim	Oliver Cilwik	65
Tobias Rahim	KÅ (DNK)	62
Tobias Rahim	Mingus Eriksen	59
Tobias Rahim	NamahFalcon	59
Tobias Rahim	Emil Rønnow	59
Tobias Rahim	Fresh-I	63
Tobias Rahim	Carl Knast	63
Tobias Rahim	Zuloo	59
Tobias Rahim	Camilo Fernandez	59
Tobias Rahim	Andreas Iversen	59
Tobias Rahim	Cyno MC	59
Tobias Rahim	Mighty One	59
Tobias Rahim	Yerki	59
Tobias Rahim	Ankerstjerne	128
Artigeardit	Adam Hillebrandt	73
Artigeardit	Lamin	80
Artigeardit	Mike Lowrey	75
Artigeardit	Kephoi	71
Artigeardit	Rob & Jenne	73
Artigeardit	Frederik Thaae	73
Artigeardit	Anton Westerlin	138
